strategy,n_rows,macro_f1_mean,balanced_accuracy_mean,accuracy_mean
h1_router_fb_cortex_striatum,64,0.7442440709035536,0.7583333333333333,0.811659995437569
p2_top1_top3_a007,64,0.6984168143324462,0.7430555555555556,0.7358308664374841
p2_top3_top1_a033,64,0.6817757733656759,0.6944444444444444,0.7318654639886257
h1_primary_proxy_top3_top4_a007,64,0.6795050948977088,0.7166666666666667,0.7503933770477889
p2_top2_top4_a005,64,0.6718478853551225,0.7083333333333334,0.7417512838468721
p2_top4_top4_a006,64,0.6712133155826218,0.7083333333333334,0.7417512838468721
h1_fallback_proxy_top1_top1_a017,64,0.636341918664335,0.6638888888888889,0.7037498806340718
new_primary_top3_top4_a007,64,0.5246491033362968,0.5763888888888888,0.6677995156395892
fallback_top1_top1_a017,64,0.5058837403708565,0.5319444444444444,0.5971091230052628
old_single_old2900_a011,64,0.5008493135255119,0.5194444444444444,0.5792487307422969
baseline1500_tuned2900_a011,64,0.4618576551444826,0.5041666666666667,0.5737213919658772
